region,year,pm25
BARMM,2013,14.709481
BARMM,2014,14.722514
BARMM,2015,17.321379
BARMM,2016,15.022738
BARMM,2017,13.513163
BARMM,2018,15.112575
BARMM,2019,13.253559
BARMM,2020,12.35299
BARMM,2021,13.5529
BARMM,2022,15.47805
CAR,2013,14.525847
CAR,2014,14.021828
CAR,2015,14.033639
CAR,2016,13.636843
CAR,2017,13.430938
CAR,2018,14.05359
CAR,2019,15.306977
CAR,2020,13.590997
CAR,2021,13.508479
CAR,2022,13.923188
NCR,2013,23.69277
NCR,2014,25.681744
NCR,2015,24.73103
NCR,2016,26.722162
NCR,2017,22.564716
NCR,2018,24.520508
NCR,2019,30.654888
NCR,2020,30.448298
NCR,2021,26.783203
NCR,2022,31.587173
Region I,2013,16.000214
Region I,2014,16.30951
Region I,2015,15.451781
Region I,2016,16.229641
Region I,2017,16.687716
Region I,2018,14.314774
Region I,2019,16.628056
Region I,2020,14.634796
Region I,2021,14.345316
Region I,2022,15.88438
Region II,2013,11.683477
Region II,2014,13.2136
Region II,2015,12.17592
Region II,2016,12.411015
Region II,2017,13.363348
Region II,2018,12.300357
Region II,2019,12.702661
Region II,2020,12.371663
Region II,2021,12.4439945
Region II,2022,12.057312
Region III,2013,14.365173
Region III,2014,15.713983
Region III,2015,16.311563
Region III,2016,15.49025
Region III,2017,17.510162
Region III,2018,14.416021
Region III,2019,14.871601
Region III,2020,15.508487
Region III,2021,15.039597
Region III,2022,15.607844
Region IV-A,2013,14.206729
Region IV-A,2014,14.976756
Region IV-A,2015,16.66124
Region IV-A,2016,14.956944
Region IV-A,2017,16.279793
Region IV-A,2018,14.319014
Region IV-A,2019,15.793301
Region IV-A,2020,15.102027
Region IV-A,2021,14.599607
Region IV-A,2022,15.633523
Region IV-B,2013,12.61208
Region IV-B,2014,12.67983
Region IV-B,2015,12.608072
Region IV-B,2016,11.149527
Region IV-B,2017,11.057149
Region IV-B,2018,11.749571
Region IV-B,2019,13.134948
Region IV-B,2020,11.962126
Region IV-B,2021,11.920432
Region IV-B,2022,12.919474
Region IX,2013,14.473359
Region IX,2014,15.140581
Region IX,2015,14.548189
Region IX,2016,12.565103
Region IX,2017,12.626498
Region IX,2018,14.106626
Region IX,2019,12.495613
Region IX,2020,10.4591255
Region IX,2021,11.959798
Region IX,2022,15.467205
Region V,2013,12.01901
Region V,2014,12.610391
Region V,2015,13.487049
Region V,2016,10.695949
Region V,2017,11.54687
Region V,2018,11.65651
Region V,2019,13.92081
Region V,2020,11.533955
Region V,2021,11.306577
Region V,2022,12.418019
Region VI,2013,14.335128
Region VI,2014,15.440964
Region VI,2015,16.225225
Region VI,2016,13.783962
Region VI,2017,14.8868475
Region VI,2018,13.158613
Region VI,2019,15.619741
Region VI,2020,14.535312
Region VI,2021,15.035101
Region VI,2022,16.564726
Region VII,2013,15.590881
Region VII,2014,16.355497
Region VII,2015,16.114704
Region VII,2016,13.905567
Region VII,2017,14.461564
Region VII,2018,13.666978
Region VII,2019,16.144978
Region VII,2020,14.465497
Region VII,2021,15.092706
Region VII,2022,16.831034
Region VIII,2013,11.864539
Region VIII,2014,14.463006
Region VIII,2015,13.110632
Region VIII,2016,9.990697
Region VIII,2017,10.646852
Region VIII,2018,12.556843
Region VIII,2019,13.518981
Region VIII,2020,10.411831
Region VIII,2021,11.931639
Region VIII,2022,12.079433
Region X,2013,12.808022
Region X,2014,14.315132
Region X,2015,16.793947
Region X,2016,14.518221
Region X,2017,13.701519
Region X,2018,15.898725
Region X,2019,13.038727
Region X,2020,12.569688
Region X,2021,13.936402
Region X,2022,15.65348
Region XI,2013,14.48442
Region XI,2014,16.316341
Region XI,2015,15.328872
Region XI,2016,12.835736
Region XI,2017,12.77151
Region XI,2018,15.953095
Region XI,2019,14.2032995
Region XI,2020,9.759949
Region XI,2021,14.03994
Region XI,2022,15.532371
Region XII,2013,14.096073
Region XII,2014,14.854753
Region XII,2015,17.477602
Region XII,2016,14.529189
Region XII,2017,14.486629
Region XII,2018,16.788147
Region XII,2019,13.763752
Region XII,2020,12.540402
Region XII,2021,14.517973
Region XII,2022,15.251545
Region XIII,2013,12.482736
Region XIII,2014,15.11832
Region XIII,2015,14.6429615
Region XIII,2016,11.080706
Region XIII,2017,11.37738
Region XIII,2018,14.102243
Region XIII,2019,14.149572
Region XIII,2020,9.651189
Region XIII,2021,12.631905
Region XIII,2022,14.492586
